gene_symbol,chronos_score,category,phylostrata,network_degree,median_tpm,n_go_terms
A1BG,-0.003559822174693,Other,3,44,6.706034134378423,33
A1CF,-0.0135156642050309,Other,3,18,2.7600520664157644,31
A2M,0.0103470703748301,Other,3,34,30.310069594503265,23
A2ML1,0.1010749919578689,Other,3,53,15.963338595055063,29
A3GALT2,-0.0809712536043686,Other,3,95,145.36805795114498,37
A4GALT,-0.0558934451266426,Other,3,86,19.228237880646734,34
A4GNT,0.0748939570526142,Other,3,11,17.140759510410888,26
AAAS,-0.3016931200422723,Other,3,19,60.95405620516849,34
AACS,0.0442966538577636,Other,3,13,14.21642425207886,34
AADAC,0.1223175940442462,Other,3,14,15.921211344856834,33
AADACL2,0.0578573180858049,Other,3,16,1.0226456400601234,24
AADACL3,0.0213580677146274,Other,3,48,1.7917234575756504,27
AADACL4,0.0714409329977253,Other,3,48,60.30117930654726,35
AADAT,-0.0274324478387809,Other,3,69,39.16477412332479,31
AAGAB,0.0214032748180084,Other,3,17,8.105021091566904,30
AAK1,-0.1691722335641016,Other,3,83,1.8411914956422075,28
AAMDC,-0.0370509055929128,Other,3,77,2.2020468396293613,34
AAMP,-0.9489250695229968,Other,3,92,19.827073979670036,28
AANAT,-0.1348350164807341,Other,3,34,2.310817100552512,32
AAR2,-0.0321202546859827,Other,3,95,23.04645212921812,28
AARD,-0.1940961986638163,Other,3,25,9.628712226725916,36
AARS1,-2.280183207523004,Other,3,80,4.408379169182851,27
AARS2,-0.5977605746223661,Other,3,91,2.17574900323817,26
AARSD1,-0.215206273332407,Other,3,84,8.23390393074236,39
AASDH,-0.0604923942168003,Other,3,44,42.99745085770776,23
AASDHPPT,-0.3337643450455685,Other,3,25,13.909982821220373,28
AASS,0.0431197592254057,Other,3,92,3.9135168880749305,37
AATF,-0.7301228895409745,Other,3,14,74.55638301584167,27
AATK,-0.1240895459514697,Other,3,68,10.287051749425933,26
ABAT,-0.0557582098238425,Other,3,20,7.603129290914979,26
ABCA1,-0.0178917143788953,Other,3,93,6.893343493818426,21
ABCA10,0.1013177265659616,Other,3,44,4.317653741068706,31
ABCA12,-0.0170312244317603,Other,3,20,10.774284374360356,25
ABCA13,0.0098769303131871,Other,3,53,48.33173820352464,34
ABCA2,-0.0103142959249212,Other,3,81,4.229053008791332,33
ABCA3,0.0074048466399806,Other,3,40,5.340820667926044,33
ABCA4,-0.1482821773840121,Other,3,11,27.31627038629636,33
ABCA5,-0.0163748983945552,Other,3,87,6.714772941632116,35
ABCA6,0.0924656849330337,Other,3,96,2.986547025230051,33
ABCA7,0.0492779734325266,Other,3,70,36.63191505347415,21
ABCA8,-0.0321802765322619,Other,3,53,1.9298642760323097,24
ABCA9,0.0870598857250322,Other,3,61,2.1531190004463303,29
ABCB1,-0.0920885018875737,Other,3,49,94.01021028002002,22
ABCB10,-0.1511457528506111,Other,3,31,16.89337228356425,44
ABCB11,-0.0384976412178755,Other,3,79,8.944331275850308,20
ABCB4,-0.0126453476204888,Other,3,31,4.960804771615339,24
ABCB5,-0.0290918451921347,Other,3,35,29.463539067189704,25
ABCB6,0.0075886116487093,Other,3,87,2.283060079905765,24
ABCB7,-1.077124990705722,Other,3,32,14.920438830960478,22
ABCB8,0.0599833259949268,Other,3,81,3.2254617202991405,32
ABCB9,-0.0458271845457113,Other,3,76,1.869358438592636,26
ABCC1,0.0180241467466027,Other,3,88,16.053586154125824,40
ABCC10,-0.1232331955023722,Other,3,89,3.533978688541504,34
ABCC11,0.0661822396900442,Other,3,20,1.596968091638708,39
ABCC12,0.0352391832444479,Other,3,13,593.6799626258606,28
ABCC2,-0.022289093802591,Other,3,91,13.302061594778117,27
ABCC3,-0.0880951526163688,Other,3,21,1.6903610320574574,17
ABCC4,0.1702702243122236,Other,3,20,12.499783711212784,29
ABCC5,0.0751695438674697,Other,3,87,17.553272534661076,32
ABCC6,-0.0266547189609294,Other,3,41,2.103021185578634,25
ABCC8,0.0418120561479312,Other,3,86,26.474523537849684,19
ABCC9,-0.0323584439653816,Other,3,57,13.395100485639428,33
ABCD1,-0.152651886688093,Other,3,29,0.7502820548792193,26
ABCD2,-0.0107580481032607,Other,3,93,60.803549012986736,23
ABCD3,-0.1210074406377283,Other,3,77,6.757773665296121,32
ABCD4,-0.1086257611294889,Other,3,47,2.54792969288592,24
ABCE1,-1.9047028930441527,Other,3,10,1.7565023613922317,21
ABCF1,-1.002868791500781,Other,3,36,23.001607970185667,21
ABCF3,0.0549191049584577,Other,3,20,2.3377584007948755,28
ABCG1,-0.0148735940286928,Other,3,16,9.49280191495902,38
ABCG2,0.1109535954840172,Other,3,93,9.878633895226333,32
ABCG4,0.0218539900389119,Other,3,32,4.404626027101543,26
ABCG5,0.0268929356491191,Other,3,31,59.52972467376624,28
ABCG8,0.0302980720009076,Other,3,56,5.03024616609906,29
ABHD1,0.038467201629573,Other,3,38,30.010695519282766,42
ABHD10,0.0145677479569332,Other,3,32,38.51545433105554,28
ABHD11,-0.4209399357974569,Other,3,66,12.639940580352636,27
ABHD12,0.0120873536948892,Other,3,99,28.951261129594403,37
ABHD12B,0.0073050287602139,Other,3,23,2.8140212918172987,33
ABHD13,-0.1512178538717182,Other,3,63,6.784259958152559,20
ABHD14A,0.0050124271259197,Other,3,87,3.777077490918775,36
ABHD14B,0.0215786994484873,Other,3,75,4.8051218349338285,31
ABHD15,-0.1805916478106704,Other,3,99,5.288521100331708,18
ABHD16A,-0.0715024924803755,Other,3,16,7.476142969377853,25
ABHD16B,0.0244702774980542,Other,3,93,14.49584301270759,34
ABHD17A,-0.2798269388040956,Other,3,21,20.009414440149037,29
ABHD17B,0.0678847476897949,Other,3,12,10.92410724631882,35
ABHD17C,0.0706998115466593,Other,3,36,2.727615591167289,34
ABHD18,0.0820768466307866,Other,3,67,111.25196379915164,30
ABHD2,-0.07252160444319,Other,3,26,13.949901175141775,27
ABHD3,-0.1027586277007298,Other,3,57,20.05981215590991,29
ABHD4,0.0343880579371538,Other,3,12,21.2925710526194,40
ABHD5,-0.0550301567109713,Other,3,96,0.7109405377553002,23
ABHD6,0.0547317563462932,Other,3,57,15.116624318832482,34
ABHD8,-0.0123758590896315,Other,3,17,127.5330313418214,29
ABI1,-0.0316640115287333,Other,3,30,10.808970211501538,28
ABI2,0.0516932700718629,Other,3,47,6.244263805288801,32
ABI3,0.0417910717268549,Other,3,16,9.315915703264912,27
ABI3BP,0.084495591260425,Other,3,80,11.731539708062948,19
ABITRAM,0.0090146528146261,Other,3,25,2.157113355898379,33
ABL1,-0.0410396982562708,Other,3,29,1.257448194835593,27
ABL2,0.0882674691420194,Other,3,48,1.822533981019184,33
ABLIM1,0.0459966072570476,Other,3,43,1.958237881625964,26
ABLIM2,0.0287777285091727,Other,3,12,6.910987015679183,40
ABLIM3,0.0425478489564328,Other,3,19,6.807399818092061,32
ABR,-0.0322980778089358,Other,3,36,1.597786612398149,23
ABRA,-0.0217104609216492,Other,3,47,0.2910033383991916,25
ABRACL,0.0864504282290196,Other,3,34,8.88320182054835,27
ABRAXAS1,-0.2403963959290607,Other,3,52,1.4583693475395083,23
ABRAXAS2,0.1427779739208619,Other,3,32,3.4324050354423927,29
ABT1,-0.8104473389572581,Other,3,71,3.3305353355414478,44
ABTB1,0.052422697399912,Other,3,56,45.79986777499225,29
ABTB2,0.0461330303543724,Other,3,64,11.197425964734991,30
ABTB3,-0.0034282563425723,Other,3,94,6.26512153751806,34
ACAA1,0.0733922964275367,Other,3,67,43.33470033659424,30
ACAA2,-0.0653121280363228,Other,3,63,2.365408632038665,30
ACACA,-0.3202351882762659,Other,3,67,7.838615047538208,29
ACACB,-0.0662900739027108,Other,3,45,5.901077873338846,35
ACAD10,-0.0538190809277897,Other,3,62,5.993706860684882,37
ACAD11,0.0260182402630558,Other,3,12,27.00950849618137,26
ACAD8,0.0342701032126798,Other,3,55,0.9078156904001136,28
ACAD9,-0.2641697767351959,Other,3,66,4.734879503086694,37
ACADL,-0.0100487055654626,Other,3,16,2.264743808945226,33
ACADM,0.0208783384893888,Other,3,14,4.7754968835329725,30
ACADS,-0.0839294366552259,Other,3,67,9.39316291417219,30
ACADSB,-0.0787797189234837,Other,3,52,5.913211470398862,45
ACADVL,-0.0258255590915433,Other,3,10,1.652163249429332,32
ACAN,-0.008338334882886,Other,3,12,59.39539216629175,37
ACAP1,-0.0643917104347826,Other,3,91,16.900384376259453,25
ACAP2,0.0135667382804569,Other,3,59,0.4531255217032287,37
ACAP3,-0.1572435486457731,Other,3,77,32.786950266248446,29
ACAT1,0.0831758296726668,Other,3,57,4.502513314467642,27
ACAT2,0.1218771067273387,Other,3,49,19.34600731898897,31
ACBD3,0.0016402804223551,Other,3,95,6.390928956421522,35
ACBD4,-0.0931687347459052,Other,3,13,3.4320090334944,32
ACBD5,0.0263014837804876,Other,3,71,2.603462016335073,24
ACBD6,0.0580423547078954,Other,3,22,13.512654372448615,35
ACBD7,0.0987626383344406,Other,3,25,7.539529548377477,31
ACCS,0.0790504687322382,Other,3,93,1.932054756411282,25
ACCSL,-0.0486941256749463,Other,3,18,5.392848010697903,34
ACD,-0.36376236896468,Other,3,69,7.887611087274604,36
ACE,-0.1348668192782004,Other,3,48,62.67093117511472,27
ACE2,0.2402113073744824,Other,3,59,15.09069280838503,35
ACER1,-0.0025159799061957,Other,3,64,40.46737956591349,31
ACER2,0.0438413824736824,Other,3,22,23.359412340720525,33
ACER3,0.1039444090520065,Other,3,97,30.487282980358703,28
ACHE,-0.2671650999828041,Other,3,63,1.6988570671712997,21
ACIN1,-0.7936035671962824,Other,3,87,25.147248319426403,21
ACKR1,-0.0356588735516011,Other,3,47,18.10293731967725,32
ACKR2,0.082099386429713,Other,3,16,17.141480575200905,21
ACKR3,0.0502945576245583,Other,3,83,38.91219898761065,27
ACKR4,-0.1645494309297028,Other,3,87,1.0499526501893628,28
ACLY,-0.4927840945579498,Other,3,22,12.557783753229064,40
ACMSD,0.0528508284202403,Other,3,85,14.434449841347044,17
ACO1,0.047250069840401,Other,3,93,8.536750890032257,25
ACO2,-0.7657574856051594,Other,3,21,5.602271716500737,21
ACOD1,0.0506135456634096,Other,3,15,2.237524720311361,24
ACOT1,0.306035700861827,Other,3,21,31.838752909020688,39
ACOT11,0.0031928275641236,Other,3,71,59.5113998343176,21
ACOT12,-0.2416145858324078,Other,3,27,21.240671333331036,26
ACOT13,0.0187426885449595,Other,3,91,25.49691584313356,28
ACOT2,0.0495420123941665,Other,3,58,1.6058743306085728,42
ACOT4,-0.1140790263066424,Other,3,72,15.596781114091309,24
ACOT6,-0.047233394295392,Other,3,59,11.467549206832404,22
ACOT7,0.0716262128377597,Other,3,43,34.5550946352536,30
ACOT8,0.0462330759769518,Other,3,39,4.027403608087827,31
ACOT9,0.0921334671057949,Other,3,16,5.517672913010464,30
ACOX1,-0.1682804001621946,Other,3,20,13.050117511297447,29
ACOX2,-0.074167985326888,Other,3,12,0.9622615463628404,28
ACOX3,0.0214470219498273,Other,3,40,19.68907828474137,28
ACOXL,-0.1589523840202625,Other,3,36,1.0208305187373152,29
ACP1,0.1275367551901948,Other,3,42,4.992030270851914,33
ACP2,0.037292324691045,Other,3,49,3.887783882462364,32
ACP3,0.0642452889921135,Other,3,43,9.781983792352491,31
ACP4,0.0528270244556804,Other,3,89,2.5576557948252168,30
ACP5,0.010886235839134,Other,3,98,12.054087858588268,32
ACP6,-0.0452544621710576,Other,3,87,6.978086237234446,25
ACP7,-0.1331642518065618,Other,3,97,11.943006793150234,22
ACR,-0.1897420196081221,Other,3,73,17.558460873984664,32
ACRBP,-0.0293436133665526,Other,3,12,17.648248069052862,33
ACRV1,0.1901338316470697,Other,3,95,1.1648681465449169,32
ACSBG1,0.0581718060086514,Other,3,92,4.597174689386885,29
ACSBG2,-0.0069097454530465,Other,3,58,23.90694594904601,35
ACSF2,-0.1294472665036757,Other,3,69,12.130784648356292,26
ACSF3,0.1003624866629404,Other,3,59,9.067297245527284,27
ACSL1,-0.0194339850536999,Other,3,30,2.272557053130841,40
ACSL3,-0.4145363881034683,Other,3,73,2.5739892260563373,43
ACSL4,-0.1303919553879018,Other,3,82,10.429119780785078,33
ACSL5,0.0425017915403259,Other,3,11,96.72123151053272,30
ACSL6,-0.0222938788111676,Other,3,94,3.983284979983996,22
ACSM1,0.0530286962930027,Other,3,42,2.124335516858068,20
ACSM2A,0.0866960925881756,Other,3,54,29.867374319410622,25
ACSM2B,0.1666156933622643,Other,3,87,6.527244104096512,32
ACSM3,-0.0280074668900833,Other,3,58,22.240391746034724,32
ACSM4,0.1213649324984788,Other,3,90,13.364497224350115,23
ACSM5,0.0325502186617497,Other,3,44,27.38197298521443,28
ACSM6,-0.022494548111362,Other,3,28,16.932087620082036,30
ACSS1,0.0776006356845294,Other,3,80,23.607847369914403,28
ACSS2,0.1545443493757571,Other,3,22,6.664547596895837,32
ACSS3,0.0542539966242269,Other,3,40,9.939451455924898,29
ACTA1,-0.1314249865269167,Other,3,87,2.621848899014505,43
ACTA2,0.0474713690317653,Other,3,70,7.218460404932672,39
ACTB,-0.744468526474001,Other,3,197,445.51877747281,37
ACTBL2,0.0345408566723871,Other,3,115,868.7346284775189,35
ACTC1,0.013722871558645,Other,3,77,21.60118630357381,38
ACTG1,-0.7153173832646348,Other,3,72,3.734416025051517,41
ACTG2,0.0245708295402494,Other,3,62,23.408577020484078,42
ACTL10,0.0917393150394609,Other,3,10,11.674645359134807,37
ACTL6A,-1.6042979751142823,Other,3,50,66.71347376572379,33
ACTL6B,0.0043393180197864,Other,3,13,5.5532223530730445,54
ACTL7A,-0.1303272844423444,Other,3,65,8.347878647090798,37
ACTL7B,0.0288863162137901,Other,3,23,11.03467126268188,44
ACTL8,-0.016882056896309,Other,3,36,17.088778496777586,38
ACTL9,-0.0247594286428635,Other,3,20,17.19867408643351,48
ACTMAP,0.109595943557372,Other,3,22,9.466764290128646,42
ACTN1,-0.1132989698332332,Other,3,27,48.76537889288127,37
ACTN2,-0.0128044164032394,Other,3,88,44.83200771809654,33
ACTN3,0.2163378125411078,Other,3,54,8.154139270788225,46
ACTN4,0.0172501878199783,Other,3,17,102.34091041383093,30
ACTR10,-1.2350520809495356,Other,3,79,3.431946914934904,36
ACTR1A,-0.9112460429947264,Other,3,47,4.122922324683951,35
ACTR1B,-0.3037675633166086,Other,3,61,122.32240396429955,30
ACTR2,-1.3421968166560847,Other,3,98,2.280470967946323,39
ACTR3,-0.4947736797071789,Other,3,94,17.226400964601826,36
ACTR3B,0.0161779125508918,Other,3,62,15.8040531858973,32
ACTR3C,-0.1086769929373114,Other,3,69,14.69180432331267,33
ACTR5,-0.2981806711452329,Other,3,64,10.14773525802477,44
ACTR6,-0.7752668386930898,Other,3,88,30.917617629232577,39
ACTR8,-0.6581544077175592,Other,3,87,18.714667491198306,51
ACTRT1,0.1111041064983894,Other,3,83,31.50220700643817,38
ACTRT2,0.0920619480693345,Other,3,62,1.543843094301337,27
ACTRT3,-0.0828301082932966,Other,3,85,11.072397419322614,36
ACVR1,0.0642671772287572,Other,3,75,6.453434123189311,31
ACVR1B,-0.0853880284679172,Other,3,45,5.373807830274079,35
ACVR1C,0.0986026079650716,Other,3,24,90.95760530465996,35
ACVR2A,-0.0586108211472589,Other,3,41,20.3426290262873,26
ACVR2B,0.0700895399742516,Other,3,84,18.466501123469943,23
ACVRL1,0.0436647481104875,Other,3,10,3.055336440329878,21
ACY1,0.056136505652062,Other,3,34,30.7814835204005,32
ACY3,-0.0209408763244557,Other,3,18,76.2965183158865,25
ACYP1,-0.0124971947983041,Other,3,10,1.845353520844592,38
ACYP2,0.0657018327952958,Other,3,60,10.76201522307688,30
ADA,-0.0066536826095863,Other,3,36,3.3883101269868106,28
ADA2,-0.0260570043840889,Other,3,80,20.06214925504736,35
ADAD1,0.074546395999284,Other,3,66,7.020454487581405,34
ADAD2,-0.0456678989018041,Other,3,17,4.954047265020454,30
ADAM10,0.0089657061782083,Other,3,53,7.2976898808331345,21
