gene_symbol,Tm
A1CF,43.7044005121845
A2LD1,51.212242809209
A2M,60.2116021668955
A2ML1,63.1889686199555
AAAS,51.41497020919855
AACS,44.5828714705046
AADACL1,59.4629863563154
AADAT,56.19489447261975
AAGAB,48.293560932954605
AAK1,50.4568026855188
AAMDC,58.07505702336245
AAMP,49.4187013122365
AAR2,50.05316746380315
AARS,52.5380128806297
AARS2,48.2365393018756
AARSD1,49.0700807976241
AASDH,48.92634974784005
AASDHPPT,51.9386121943897
AASS,51.3195808261071
AATF,46.5351937083542
ABAT,60.1821663591997
ABCA1,50.52952381666355
ABCA2,51.1817729341816
ABCA3,52.19706691811835
ABCA5,58.35557900785505
ABCA7,60.9937480058939
ABCA8,55.510899180243655
ABCB1,51.72204643977525
ABCB10,53.9141698057068
ABCB11,51.7853266109586
ABCB5,51.30491139127865
ABCB6,52.6697781860514
ABCB7,51.855741125447
ABCB8,52.087663891145255
ABCC1,54.2488685337095
ABCC10,52.4587103687325
ABCC2,50.34690780555225
ABCC3,52.426901277405904
ABCC4,58.16382556908755
ABCC5,53.25449258492955
ABCC6,51.58706008940585
ABCD1,48.30305339738355
ABCD2,50.1276859274119
ABCD3,51.59901019121375
ABCD4,54.76845946930355
ABCE1,60.7154417730635
ABCF1,51.2577310053536
ABCF2,52.6955598879509
ABCF3,44.363643547628
ABCG1,50.7364772331691
ABCG2,61.63728851382915
ABCG8,50.16767101638885
ABHD10,62.6445463761425
ABHD11,48.4797486995009
ABHD12,53.4983051630025
ABHD13,55.7969061592766
ABHD14A,52.9172410720393
ABHD14B,51.6304180901993
ABHD16A,47.84752188756015
ABHD17B,53.375057513783545
ABHD17C,46.5477788835464
ABHD3,49.7267089860299
ABHD4,47.38250454435085
ABHD5,51.778371164975596
ABHD6,48.7438923816986
ABI1,50.8441917087045
ABI2,51.9701580393401
ABI3,51.0714761151542
ABI3BP,59.1679032783859
ABL1,48.2844536142378
ABL2,46.2155935795499
ABLIM1,49.0531378822537
ABLIM2,53.8035281256235
ABLIM3,51.41807586689825
ABR,46.7400701518937
ABRACL,57.114898447231454
ABT1,43.8096460605892
ABTB2,43.740002199322
ACAA1,58.2937245473976
ACAA2,63.4499496764339
ACACA,46.8533801459815
ACACB,48.6501245403371
ACAD10,49.148785444807
ACAD11,50.465711313073754
ACAD8,56.422535479379
ACAD9,52.3977588509235
ACADM,56.9014603129998
ACADS,55.6653167233397
ACADSB,53.952754316145
ACADVL,56.0714280769928
ACAP1,48.2032942904582
ACAP2,49.2070273675096
ACAP3,46.009384045891196
ACAT1,56.4584945955393
ACAT2,60.1747703603422
ACBD3,49.8790847950095
ACBD5,47.064203683721445
ACBD6,46.8704950218085
ACBD7,53.65577000130505
ACCN2,55.3695350366481
ACCS,53.7067196610393
ACD,47.0669593755823
ACE,61.6905985249945
ACE2,59.7025398131805
ACIN1,53.380008051772
ACLY,52.5232603982618
ACN9,51.2594375776237
ACO1,53.3035826693606
ACO2,50.5355623408683
ACOT1,51.6855090542911
ACOT11,50.9465829805164
ACOT13,
ACOT2,50.5971160667162
ACOT7,62.2406065411712
ACOT8,56.7090712348573
ACOT9,53.804314584156344
ACOX1,60.7459944665192
ACOX2,56.7097133320441
ACOX3,56.1941460488845
ACP1,48.9668141302037
ACP2,58.6449130149671
ACP6,54.250475771872004
ACPL2,51.5915200332814
ACPP,58.924015755143245
ACSF2,48.5783865355202
ACSF3,47.9521760361975
ACSL1,50.788804876762796
ACSL3,50.56435440938415
ACSL4,45.9660725127446
ACSL5,48.5653663399719
ACSL6,50.3051303139298
ACSM2B,48.4817122147043
ACSM3,46.7000111397782
ACSS1,52.107109432984
ACSS2,51.5898209851387
ACSS3,52.9966286985466
ACTA1,53.4890096996846
ACTA2,52.3649662464953
ACTB,54.835627997148
ACTBL2,53.3016992831628
ACTC1,54.7308554181153
ACTL6A,50.8031716139831
ACTL8,54.04168323055785
ACTN1,56.6778791117544
ACTN4,55.8638972346796
ACTR10,52.9113919824664
ACTR1A,53.4627078873507
ACTR1B,52.9773615291831
ACTR2,56.3419579336137
ACTR3,57.5658624907185
ACTR3B,58.0414642881361
ACTR5,44.0049535084651
ACTR6,47.8471886483416
ACTR8,45.1666939891318
ACVR1,48.8846823302353
ACVR1B,49.9095757735879
ACVR2A,47.17627026882515
ACVR2B,48.008589780285305
ACVRL1,48.2391693225798
ACY1,59.6073452779914
ACYP1,53.6350605158227
ACYP2,54.2475878176107
ADA,60.3724459545787
ADAL,61.2515085053649
ADAM10,56.292812660864556
ADAM15,55.753551108142304
ADAM17,54.82232029125245
ADAM22,57.52325502262855
ADAM23,60.38154844452555
ADAM9,59.5692672393282
ADAMTS1,54.37305194484835
ADAMTS7,55.06671381566055
ADAP1,50.67285335760455
ADAR,47.9295352048079
ADARB1,49.2065377467171
ADAT1,46.1296292631858
ADAT2,53.5626420276994
ADAT3,52.2638410828513
ADCK1,55.2451124730578
ADCK2,53.76180203485385
ADCK3,51.2546151663021
ADCK4,47.4453439120749
ADCK5,55.314021054063744
ADCY3,49.85421372777215
ADCY4,50.610717621255745
ADCY7,51.26345155940295
ADCY9,51.559222978341
ADD1,55.3176660928714
ADD2,55.2986162781359
ADD3,56.6940219511727
ADFP,50.9702667169926
ADH4,63.4833201623634
ADH5,59.9748944020358
ADH6,64.93009108355905
ADI1,49.230110901618
ADIPOR1,57.73036656598775
ADIPOR2,57.4063701240594
ADIRF,69.8263603866482
ADK,58.0075765815704
ADM,
ADNP,45.6229333700147
ADNP2,44.418964967382905
ADO,55.3387151469957
ADPGK,58.425241179783455
ADPRH,53.91276270407505
ADPRHL2,52.6823858800944
ADRB2,55.3636591062029
ADRBK1,50.9286467940578
ADRBK2,48.2312552761047
ADRM1,50.8803568350464
ADSL,60.4067925083735
ADSS,58.252361186945
ADSSL1,55.658503915627605
AEBP1,51.73925513668095
AEBP2,47.5719122307993
AES,47.3306908976939
AFAP1,50.87460450763635
AFAP1L1,49.8371640130685
AFAP1L2,50.30466577844875
AFF1,49.45598987855805
AFF2,45.63973223605605
AFF4,50.22023321071235
AFG3L2,51.2730547670855
AFMID,48.332566440110654
AFP,57.82776960425975
AFTPH,50.6390129673482
AGA,58.0114832583213
AGAP1,50.3726238061166
AGAP2,47.0313149899911
AGAP3,46.1306980975813
AGBL1,50.7240973332865
AGFG1,52.2891129841845
AGFG2,46.0243365230879
AGGF1,47.9585452838731
AGK,53.6001507544348
AGL,49.8869041347959
AGMAT,62.45941917652005
AGO1,58.12224750119065
AGO2,61.3467816618735
AGO3,58.3287693157523
AGPAT1,51.8595186336356
AGPAT2,52.8581772138835
AGPAT3,52.22883893305735
AGPAT4,52.4074911345786
AGPAT5,52.00523155139725
AGPAT6,53.0709683659324
AGPAT9,51.34152824891705
AGPS,52.341597895995
AGR2,52.217903474093845
AGRN,53.655055212589744
AGT,58.59890122010415
AGTPBP1,49.9310862261896
AGTRAP,59.0283171455651
AGXT,62.752881621406246
AGXT2L2,56.2836894867137
AHCTF1,51.890349483523
AHCY,62.067154208067
AHCYL1,53.9215973193065
AHCYL2,57.1115450376071
AHNAK,52.0895888807386
AHNAK2,52.9054580075897
AHR,45.067835186237446
AHSA1,50.4549277325884
AHSG,59.46561990486055
AIDA,49.9737412058062
AIF1,53.1485626389621
AIF1L,52.3889537370301
AIFM1,58.6609000655978
AIFM2,54.533121327988056
AIG1,61.21840188527905
AIM1,47.3630291109333
AIM1L,46.31921014009815
AIMP1,46.1880038341462
AIMP2,46.64733982553865
AIP,48.4220580595884
AJAP1,48.523954732426745
AK1,50.084452312002796
AK2,61.1899872997884
AK3,57.0169670810166
AK3L1,53.7920557138081
AK4,53.7225582538369
AK5,47.173654833358555
AK6,47.36415189113305
AK7,50.6048199469753
AKAP1,48.6850186914432
AKAP10,46.8093172541698
AKAP11,50.2566365210513
AKAP12,64.07598365952731
AKAP13,48.3205825430923
AKAP2,53.9985823719827
AKAP5,52.3851455697908
AKAP6,51.8227172303883
AKAP7,54.67480626642385
AKAP8,48.81686809368345
AKAP8L,45.4950060322587
AKAP9,46.9162854606065
AKIRIN2,52.3558659135488
AKNA,49.0268986844168
AKR1A1,51.7572217022321
AKR1B1,55.9448064643124
AKR1B10,55.9593835780477
AKR1C1,45.33603524795955
AKR1C2,46.9455530498954
AKR1C3,49.79177502168285
AKR1CL1,59.374464236993
AKR1D1,47.6508894479012
AKR7A2,53.3431908584107
AKT1,47.7516719815133
AKT1S1,55.4078835532356
AKT2,49.8580458115388
AKT3,53.3000772510372
AKTIP,49.207262789832654
ALAD,61.7771685166576
ALAS1,49.4566935528289
ALB,56.7371925059017
ALCAM,62.31595050275985
ALDH16A1,58.400402833248194
ALDH18A1,51.778762255608
ALDH1A1,62.15156615684175
ALDH1A2,56.725135143353455
ALDH1A3,61.396954121937895
ALDH1B1,53.7946620148294
ALDH1L1,48.03022624063535
ALDH1L2,49.527952921335796
ALDH2,55.0425883296493
ALDH3A1,50.2605878861722
ALDH3A2,49.7842358930775
ALDH3B1,51.90938959523585
ALDH4A1,50.721281488469
ALDH5A1,58.8948218912934
ALDH6A1,48.9061444254315
ALDH7A1,54.2635624090113
ALDH9A1,57.4399150715266
ALDOA,61.090128162654
ALDOB,57.67127784258535
ALDOC,59.3953999755788
ALG1,52.934526184358205
ALG10,52.69895407325835
ALG10B,53.0064346142929
ALG11,51.251725859454794
ALG12,57.2363607647667
ALG13,52.4988687590567
ALG14,55.162082169064405
ALG2,51.012908475269896
ALG3,52.556776846659005
ALG5,52.85435953766985
ALG6,54.81723413699355
ALG8,54.5071641419227
ALG9,53.912286100904154
ALKBH1,50.1208458892439
ALKBH2,51.5670727499501
ALKBH3,54.3495452816752
ALKBH4,48.5903612105071
ALKBH5,49.3288447182388
ALKBH6,50.360224590125
ALKBH7,48.9621576820848
ALKBH8,47.2609750237114
ALMS1,51.15409486422905
ALOX5,49.674704203589656
ALOX5AP,58.04435421649395
"ALPHA-ENOLASE, LUNG SPECIFIC.",56.4374750473731
ALPK3,55.6335327955015
ALPP,61.45474761349425
ALS2,49.313302695762
ALS2CL,44.4767972496305
ALS2CR4,60.6274970703827
