uniprot_id,protein_name,length,disorder_content
P31946,14-3-3 protein beta/alpha,246,0.053
Q04917,14-3-3 protein eta,246,0.024
P62258,14-3-3 protein epsilon,255,0.0
P61981,14-3-3 protein gamma,247,0.04
P31947,14-3-3 protein sigma,248,0.06
P27348,14-3-3 protein theta,245,0.049
P63104,14-3-3 protein zeta/delta,245,0.049
Q4AC99,Probable inactive 1-aminocyclopropane-1-carboxylate synthase-like protein 2,568,0.146
Q96QU6,1-aminocyclopropane-1-carboxylate synthase-like protein 1,501,0.156
Q15172,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform,486,0.171
Q15173,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit beta isoform,497,0.173
Q14738,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,602,0.277
Q16537,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform,467,0.133
Q13362,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform,524,0.237
P30153,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform,589,0.02
P30154,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform,601,0.04
P63151,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform,447,0.056
Q00005,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform,443,0.072
Q9Y2T4,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B gamma isoform,447,0.078
Q66LE6,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform,453,0.06
P14060,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,373,0.0
P26439,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,372,0.0
Q9H2F3,3 beta-hydroxysteroid dehydrogenase type 7,369,0.014
Q9Y3L3,SH3 domain-binding protein 1,701,0.382
Q7L8J4,SH3 domain-binding protein 5-like,393,0.425
P78314,SH3 domain-binding protein 2,561,0.551
O60239,SH3 domain-binding protein 5,455,0.525
P46952,"3-hydroxyanthranilate 3,4-dioxygenase",286,0.0
P31937,"3-hydroxyisobutyrate dehydrogenase, mitochondrial",336,0.11
P29372,DNA-3-methyladenine glycosylase,298,0.268
Q13541,Eukaryotic translation initiation factor 4E-binding protein 1,118,0.703
Q13542,Eukaryotic translation initiation factor 4E-binding protein 2,120,0.658
O60516,Eukaryotic translation initiation factor 4E-binding protein 3,100,0.94
P08195,Amino acid transporter heavy chain SLC3A2,630,0.314
Q9NRA8,Eukaryotic translation initiation factor 4E transporter,985,0.973
P08908,5-hydroxytryptamine receptor 1A,422,0.306
P28222,5-hydroxytryptamine receptor 1B,390,0.272
P28221,5-hydroxytryptamine receptor 1D,377,0.279
P28566,5-hydroxytryptamine receptor 1E,365,0.211
P30939,5-hydroxytryptamine receptor 1F,366,0.145
P41595,5-hydroxytryptamine receptor 2B,481,0.374
P28223,5-hydroxytryptamine receptor 2A,471,0.357
P28335,5-hydroxytryptamine receptor 2C,458,0.323
O95264,5-hydroxytryptamine receptor 3B,441,0.177
A5X5Y0,5-hydroxytryptamine receptor 3E,456,0.202
P46098,5-hydroxytryptamine receptor 3A,478,0.199
P47898,5-hydroxytryptamine receptor 5A,357,0.23
Q8WXA8,5-hydroxytryptamine receptor 3C,447,0.201
Q13639,5-hydroxytryptamine receptor 4,388,0.229
Q70Z44,5-hydroxytryptamine receptor 3D,454,0.242
P34969,5-hydroxytryptamine receptor 7,479,0.313
P50406,5-hydroxytryptamine receptor 6,440,0.37
Q9Y6E2,eIF5-mimic protein 1,419,0.079
Q7L1Q6,eIF5-mimic protein 2,419,0.084
Q9BXI3,Cytosolic 5'-nucleotidase 1A,368,0.128
Q9H0P0,Cytosolic 5'-nucleotidase 3A,336,0.11
Q969T7,7-methylguanosine phosphate-specific 5'-nucleotidase,300,0.023
Q96P26,Cytosolic 5'-nucleotidase 1B,610,0.448
P21589,5'-nucleotidase,574,0.08
P49902,Cytosolic purine 5'-nucleotidase,561,0.189
P52209,"6-phosphogluconate dehydrogenase, decarboxylating",483,0.041
O95336,6-phosphogluconolactonase,258,0.0
P05408,Neuroendocrine protein 7B2,212,0.976
P36639,Oxidized purine nucleoside triphosphate hydrolase,156,0.208
P0DKL9,ARL14 effector protein-like,152,0.467
Q8IZ83,Aldehyde dehydrogenase family 16 member A1,802,0.027
Q676U5,Autophagy-related protein 16-1,607,0.298
Q8NAA4,Protein Atg16l2,619,0.407
P02763,Alpha-1-acid glycoprotein 1,201,0.114
P19652,Alpha-1-acid glycoprotein 2,201,0.114
P20848,Alpha-1-antitrypsin-related protein,421,0.105
P01009,Alpha-1-antitrypsin,418,0.103
P04217,Alpha-1B-glycoprotein,495,0.048
Q9NQ94,APOBEC1 complementation factor,594,0.359
Q8NF67,Putative ankyrin repeat domain-containing protein 20A12 pseudogene,263,0.293
A0PJZ0,Putative ankyrin repeat domain-containing protein 20A5,165,0.127
Q5VUR7,Putative ankyrin repeat domain-containing protein 20A3,823,0.558
Q5SQ80,Putative ankyrin repeat domain-containing protein 20A2,823,0.569
Q96IX9,Putative ankyrin repeat domain-containing protein 26-like 1,119,0.479
Q5TYW2,Ankyrin repeat domain-containing protein 20A1,823,0.563
Q4UJ75,Putative ankyrin repeat domain-containing protein 20A4,823,0.48
P02750,Leucine-rich alpha-2-glycoprotein,347,0.115
P08697,Alpha-2-antiplasmin,491,0.234
P01023,Alpha-2-macroglobulin,1474,0.048
A8K2U0,Alpha-2-macroglobulin-like protein 1,1454,0.058
A7E2S9,Putative ankyrin repeat domain-containing protein 30B-like,258,0.244
U3KPV4,"Alpha-1,3-galactosyltransferase 2",340,0.05
Q5T5F5,Uncharacterized protein ADAMTSL4-AS1,129,1.0
Q9NPC4,Lactosylceramide 4-alpha-galactosyltransferase,353,0.187
Q9UNA3,"Alpha-1,4-N-acetylglucosaminyltransferase",340,0.144
P05067,Amyloid-beta precursor protein,770,0.443
Q96GX2,Ataxin-7-like protein 3B,97,0.794
P30542,Adenosine receptor A1,326,0.074
P29275,Adenosine receptor A2b,332,0.117
P29274,Adenosine receptor A2a,412,0.257
P0DMS8,Adenosine receptor A3,318,0.063
P22760,Arylacetamide deacetylase,399,0.03
Q9NS82,Asc-type amino acid transporter 1,523,0.132
Q9NRG9,Aladin,546,0.145
Q15758,Neutral amino acid transporter B(0),541,0.176
Q86V21,Acetoacetyl-CoA synthetase,672,0.027
P01011,Alpha-1-antichymotrypsin,423,0.111
